tag_id,tag_name,PRE_n,PRE_count,PRE_share,POST_n,POST_count,POST_share,percentage_point_change
T01,Offensive_Pressure,193,28,0.14507772020725387,4041,710,0.17569908438505322,3.0621364177799344
T02,Defense_Movement,193,15,0.07772020725388601,4041,711,0.1759465478841871,9.822634063030108
T03,Character_Homogenization,193,4,0.02072538860103627,4041,422,0.10442959663449641,8.370420803346015
T04,Heat_System,193,17,0.08808290155440414,4041,257,0.06359811927740658,-2.448478227699756
T05,Moveset_Balance_Issue,193,12,0.06217616580310881,4041,315,0.0779510022271715,1.5774836424062688
T06,Dev_Direction_Trust,193,12,0.06217616580310881,4041,499,0.123484286067805,6.130812026469619
